Name,Number of reads,Avg.length,Trimmed sequences,Trimmed (broken pairs),Total number of reads after trim,Percentage trimmed (%),Avg.length after trim
BFTMS23111401 (single),217976,95.93632785,140624,0,140624,64.51352442,131.1572776
BFTMS23111403 (single),262006,103.8726632,191618,0,191618,73.13496637,130.3936947
BFTMS23111404 (single),213662,107.64156,160671,0,160671,75.19867829,132.6552458
BFTMS23111405 (single),290348,101.9530391,216179,0,216179,74.45513659,126.0500974
BFTMS23111410 (single),1188701,127.2555512,1142813,0,1142813,96.1396516,130.9711256
BFTMS23111411 (single),1256333,118.5021694,1205642,0,1205642,95.9651621,122.0456835
BFTMS23111412 (single),888161,121.0008422,829842,0,829842,93.43373555,127.1969122
BFTMS23111413 (single),332588,108.6600088,262810,0,262810,79.01968802,128.9703246
BFTMS23111414 (single),1109524,126.8564493,1070927,0,1070927,96.52130103,130.1864693
BFTMS23111415 (single),1179755,129.0671733,1136342,0,1136342,96.32016817,132.6869208
