,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,52,18,13.415012,1.812654,11.602358,6.400757121877645,BFTMS23071402,BFTMS23071417,LSU_loose
53,Staphylococcus aureus LCT-SAO; JANM01000001.1715466.1718570,JANM01000001.1715466.1718570,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus LCT-SAO,Staphylococcus aureus LCT-SAO, JANM01000001.1715466.1718570,LSU,No,2580,0,1306,161.25,6.0,414.0920188,86,4,18.015624,0.402812,17.612811999999998,43.72464574044467,BFTMS23071406,BFTMS23071417,LSU_loose
53,Staphylococcus aureus LCT-SAO; JANM01000001.1715466.1718570,JANM01000001.1715466.1718570,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus LCT-SAO,Staphylococcus aureus LCT-SAO, JANM01000001.1715466.1718570,LSU,No,2580,0,1306,161.25,6.0,414.0920188,1129,4,303.530521,0.402812,303.12770900000004,752.5289936744686,BFTMS23071407,BFTMS23071417,LSU_loose
50,Bacillus rubiinfantis; CCFE01000025.30825.33480,CCFE01000025.30825.33480,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus rubiinfantis,Bacillus rubiinfantis, CCFE01000025.30825.33480,LSU,No,474,0,80,29.625,21.5,24.40730765,56,18,15.055544,1.812654,13.24289,7.305801327776839,BFTMS23071407,BFTMS23071417,LSU_loose
66,Vibrio parahaemolyticus; CP009982.128299.131152,CP009982.128299.131152,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus,Vibrio parahaemolyticus, CP009982.128299.131152,LSU,No,2337,0,736,146.0625,28.5,259.56848,51,24,13.711299,2.416872,11.294427,4.673158942633288,BFTMS23071407,BFTMS23071417,LSU_loose
4,Staphylococcus aureus M1060; AQGA01000005.41407.43923,AQGA01000005.41407.43923,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus M1060,Staphylococcus aureus M1060, AQGA01000005.41407.43923,LSU,No,96,0,53,6.0,0.0,16.32584863,42,0,11.291658,0.0,11.291658,inf,BFTMS23071407,BFTMS23071417,LSU_loose
34,Staphylococcus aureus; FSRY01000044.1211.4061,FSRY01000044.1211.4061,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, FSRY01000044.1211.4061,LSU,No,36,0,21,2.25,0.0,5.848076607,21,0,5.645829,0.0,5.645829,inf,BFTMS23071407,BFTMS23071417,LSU_loose
53,Staphylococcus aureus LCT-SAO; JANM01000001.1715466.1718570,JANM01000001.1715466.1718570,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus LCT-SAO,Staphylococcus aureus LCT-SAO, JANM01000001.1715466.1718570,LSU,No,2580,0,1306,161.25,6.0,414.0920188,1306,4,402.645024,0.402812,402.242212,998.5854741169578,BFTMS23071408,BFTMS23071417,LSU_loose
4,Staphylococcus aureus M1060; AQGA01000005.41407.43923,AQGA01000005.41407.43923,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus M1060,Staphylococcus aureus M1060, AQGA01000005.41407.43923,LSU,No,96,0,53,6.0,0.0,16.32584863,53,0,16.340112,0.0,16.340112,inf,BFTMS23071408,BFTMS23071417,LSU_loose
66,Vibrio parahaemolyticus; CP009982.128299.131152,CP009982.128299.131152,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Vibrionaceae; Vibrio; Vibrio parahaemolyticus,Vibrio parahaemolyticus, CP009982.128299.131152,LSU,No,2337,0,736,146.0625,28.5,259.56848,49,24,15.106896,2.416872,12.690024000000001,5.250598293993228,BFTMS23071408,BFTMS23071417,LSU_loose
34,Staphylococcus aureus; FSRY01000044.1211.4061,FSRY01000044.1211.4061,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, FSRY01000044.1211.4061,LSU,No,36,0,21,2.25,0.0,5.848076607,12,0,3.699648,0.0,3.699648,inf,BFTMS23071408,BFTMS23071417,LSU_loose
