,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
69,Streptococcus salivarius; mg|Streptococcus|salivarius|JIM8777|-03,mg|Streptococcus|salivarius|JIM8777|-03,Bacteria; ; ; ; ; ; Streptococcus salivarius,Streptococcus salivarius, mg|Streptococcus|salivarius|JIM8777|-03,PanBac,No,7,0,7,0.4375,0.0,1.75,7,0,1.212407,0.0,1.212407,inf,BFTMS23071405,BFTMS23071417,PanBac_loose
24,Staphylococcus aureus; mg|Staphylococcus|aureus|-04,mg|Staphylococcus|aureus|-04,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-04,PanBac,No,1134,0,642,70.875,0.0,187.6336413,52,0,10.893168,0.0,10.893168,inf,BFTMS23071406,BFTMS23071417,PanBac_loose
26,Staphylococcus aureus; mg|Staphylococcus|aureus|-06,mg|Staphylococcus|aureus|-06,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-06,PanBac,No,32,0,23,2.0,0.0,5.830951895,23,0,4.818132,0.0,4.818132,inf,BFTMS23071406,BFTMS23071417,PanBac_loose
27,Staphylococcus aureus; mg|Staphylococcus|aureus|-07,mg|Staphylococcus|aureus|-07,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-07,PanBac,No,1060,0,607,66.25,0.0,183.0353336,452,0,121.519748,0.0,121.519748,inf,BFTMS23071407,BFTMS23071417,PanBac_loose
24,Staphylococcus aureus; mg|Staphylococcus|aureus|-04,mg|Staphylococcus|aureus|-04,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-04,PanBac,No,1134,0,642,70.875,0.0,187.6336413,440,0,118.29356,0.0,118.29356,inf,BFTMS23071407,BFTMS23071417,PanBac_loose
71,Streptococcus salivarius; mg|Streptococcus|salivarius|JIM8777|-05,mg|Streptococcus|salivarius|JIM8777|-05,Bacteria; ; ; ; ; ; Streptococcus salivarius,Streptococcus salivarius, mg|Streptococcus|salivarius|JIM8777|-05,PanBac,No,9,0,9,0.5625,0.0,2.25,9,0,2.419641,0.0,2.419641,inf,BFTMS23071407,BFTMS23071417,PanBac_loose
26,Staphylococcus aureus; mg|Staphylococcus|aureus|-06,mg|Staphylococcus|aureus|-06,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-06,PanBac,No,32,0,23,2.0,0.0,5.830951895,6,0,1.613094,0.0,1.613094,inf,BFTMS23071407,BFTMS23071417,PanBac_loose
0,Staphylococcus epidermidis; mg|Staphylococcus|epidermidis|-01,mg|Staphylococcus|epidermidis|-01,Bacteria; ; ; ; ; ; Staphylococcus epidermidis,Staphylococcus epidermidis, mg|Staphylococcus|epidermidis|-01,PanBac,No,19,0,7,1.1875,0.0,2.561737691,6,0,1.613094,0.0,1.613094,inf,BFTMS23071407,BFTMS23071417,PanBac_loose
24,Staphylococcus aureus; mg|Staphylococcus|aureus|-04,mg|Staphylococcus|aureus|-04,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-04,PanBac,No,1134,0,642,70.875,0.0,187.6336413,642,0,197.931168,0.0,197.931168,inf,BFTMS23071408,BFTMS23071417,PanBac_loose
27,Staphylococcus aureus; mg|Staphylococcus|aureus|-07,mg|Staphylococcus|aureus|-07,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-07,PanBac,No,1060,0,607,66.25,0.0,183.0353336,607,0,187.140528,0.0,187.140528,inf,BFTMS23071408,BFTMS23071417,PanBac_loose
23,Staphylococcus aureus; mg|Staphylococcus|aureus|-03,mg|Staphylococcus|aureus|-03,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-03,PanBac,No,12,0,7,0.75,0.0,1.949358869,7,0,2.158128,0.0,2.158128,inf,BFTMS23071408,BFTMS23071417,PanBac_loose
25,Staphylococcus aureus; mg|Staphylococcus|aureus|-05,mg|Staphylococcus|aureus|-05,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-05,PanBac,No,8,0,5,0.5,0.0,1.414213562,5,0,1.54152,0.0,1.54152,inf,BFTMS23071408,BFTMS23071417,PanBac_loose
