,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
24,Staphylococcus aureus; mg|Staphylococcus|aureus|-04,mg|Staphylococcus|aureus|-04,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-04,PanBac,No,1134,0,642,70.875,0.0,187.6336413,52,0,10.893168,0.0,10.893168,inf,BFTMS23071406,BFTMS23071417,PanBac_strict
26,Staphylococcus aureus; mg|Staphylococcus|aureus|-06,mg|Staphylococcus|aureus|-06,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-06,PanBac,No,32,0,23,2.0,0.0,5.830951895,23,0,4.818132,0.0,4.818132,inf,BFTMS23071406,BFTMS23071417,PanBac_strict
27,Staphylococcus aureus; mg|Staphylococcus|aureus|-07,mg|Staphylococcus|aureus|-07,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-07,PanBac,No,1060,0,607,66.25,0.0,183.0353336,452,0,121.519748,0.0,121.519748,inf,BFTMS23071407,BFTMS23071417,PanBac_strict
24,Staphylococcus aureus; mg|Staphylococcus|aureus|-04,mg|Staphylococcus|aureus|-04,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-04,PanBac,No,1134,0,642,70.875,0.0,187.6336413,440,0,118.29356,0.0,118.29356,inf,BFTMS23071407,BFTMS23071417,PanBac_strict
24,Staphylococcus aureus; mg|Staphylococcus|aureus|-04,mg|Staphylococcus|aureus|-04,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-04,PanBac,No,1134,0,642,70.875,0.0,187.6336413,642,0,197.931168,0.0,197.931168,inf,BFTMS23071408,BFTMS23071417,PanBac_strict
27,Staphylococcus aureus; mg|Staphylococcus|aureus|-07,mg|Staphylococcus|aureus|-07,Bacteria; ; ; ; ; ; Staphylococcus aureus,Staphylococcus aureus, mg|Staphylococcus|aureus|-07,PanBac,No,1060,0,607,66.25,0.0,183.0353336,607,0,187.140528,0.0,187.140528,inf,BFTMS23071408,BFTMS23071417,PanBac_strict
39,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|B136-33|,mg|Pseudomonas|aeruginosa|B136-33|,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|B136-33|,PanBac,No,215,0,193,13.4375,0.0,48.05131805,15,0,3.28668,0.0,3.28668,inf,BFTMS23071410,BFTMS23071417,PanBac_strict
19,Escherichia coli; mg|Escherichia|coli|ATCC-8739|-12,mg|Escherichia|coli|ATCC-8739|-12,Bacteria; ; ; ; ; ; Escherichia coli,Escherichia coli, mg|Escherichia|coli|ATCC-8739|-12,PanBac,No,978,0,978,61.125,0.0,244.5,978,0,649.182708,0.0,649.182708,inf,BFTMS23071411,BFTMS23071417,PanBac_strict
15,Escherichia coli; mg|Escherichia|coli|ATCC-8739|-08,mg|Escherichia|coli|ATCC-8739|-08,Bacteria; ; ; ; ; ; Escherichia coli,Escherichia coli, mg|Escherichia|coli|ATCC-8739|-08,PanBac,No,219,0,219,13.6875,0.0,54.75,219,0,145.369134,0.0,145.369134,inf,BFTMS23071411,BFTMS23071417,PanBac_strict
39,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|B136-33|,mg|Pseudomonas|aeruginosa|B136-33|,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|B136-33|,PanBac,No,215,0,193,13.4375,0.0,48.05131805,193,0,128.110698,0.0,128.110698,inf,BFTMS23071411,BFTMS23071417,PanBac_strict
2,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|MPAO1/P1|-01,PanBac,No,132,0,122,8.25,0.0,30.41600456,122,0,80.981892,0.0,80.981892,inf,BFTMS23071411,BFTMS23071417,PanBac_strict
17,Escherichia coli; mg|Escherichia|coli|ATCC-8739|-10,mg|Escherichia|coli|ATCC-8739|-10,Bacteria; ; ; ; ; ; Escherichia coli,Escherichia coli, mg|Escherichia|coli|ATCC-8739|-10,PanBac,No,24,0,24,1.5,0.0,6.0,24,0,15.930864,0.0,15.930864,inf,BFTMS23071411,BFTMS23071417,PanBac_strict
3,Pseudomonas aeruginosa; mg|Pseudomonas|aeruginosa|MPAO1/P1|-02,mg|Pseudomonas|aeruginosa|MPAO1/P1|-02,Bacteria; ; ; ; ; ; Pseudomonas aeruginosa,Pseudomonas aeruginosa, mg|Pseudomonas|aeruginosa|MPAO1/P1|-02,PanBac,No,22,0,22,1.375,0.0,5.5,22,0,14.603292,0.0,14.603292,inf,BFTMS23071411,BFTMS23071417,PanBac_strict
56,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-04,mg|Proteus|mirabilis|HI4320|-04,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-04,PanBac,No,160,0,160,10.0,0.0,40.0,160,0,44.18128,0.0,44.18128,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
62,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-10,mg|Proteus|mirabilis|HI4320|-10,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-10,PanBac,No,135,0,135,8.4375,0.0,33.75,135,0,37.277955,0.0,37.277955,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
60,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-08,mg|Proteus|mirabilis|HI4320|-08,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-08,PanBac,No,120,0,120,7.5,0.0,30.0,120,0,33.13596,0.0,33.13596,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
58,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-06,mg|Proteus|mirabilis|HI4320|-06,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-06,PanBac,No,83,0,83,5.1875,0.0,20.75,83,0,22.919039,0.0,22.919039,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
63,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-11,mg|Proteus|mirabilis|HI4320|-11,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-11,PanBac,No,52,0,52,3.25,0.0,13.0,52,0,14.358916,0.0,14.358916,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
29,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-02,mg|Proteus|mirabilis|HI4320|-02,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-02,PanBac,No,51,0,51,3.1875,0.0,12.75,51,0,14.082783,0.0,14.082783,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
55,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-03,mg|Proteus|mirabilis|HI4320|-03,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-03,PanBac,No,42,0,42,2.625,0.0,10.5,42,0,11.597586,0.0,11.597586,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
61,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-09,mg|Proteus|mirabilis|HI4320|-09,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-09,PanBac,No,38,0,38,2.375,0.0,9.5,38,0,10.493054,0.0,10.493054,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
59,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-07,mg|Proteus|mirabilis|HI4320|-07,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-07,PanBac,No,15,0,15,0.9375,0.0,3.75,15,0,4.141995,0.0,4.141995,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
28,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-01,mg|Proteus|mirabilis|HI4320|-01,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-01,PanBac,No,13,0,13,0.8125,0.0,3.25,13,0,3.589729,0.0,3.589729,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
57,Proteus mirabilis; mg|Proteus|mirabilis|HI4320|-05,mg|Proteus|mirabilis|HI4320|-05,Bacteria; ; ; ; ; ; Proteus mirabilis,Proteus mirabilis, mg|Proteus|mirabilis|HI4320|-05,PanBac,No,11,0,11,0.6875,0.0,2.75,11,0,3.037463,0.0,3.037463,inf,BFTMS23071413,BFTMS23071417,PanBac_strict
