,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
3568,Uncultured beta proteobacterium; FJ975788.1.1359,FJ975788.1.1359,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured beta proteobacterium,Uncultured beta proteobacterium, FJ975788.1.1359,PanBac,No,5303,0,1829,482.09090909090907,11,806.6615714840339,1671,0,320.193678,0.0,320.193678,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
2600,Staphylococcus aureus; LS483314.2093564.2095103,LS483314.2093564.2095103,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, LS483314.2093564.2095103,PanBac,No,1240,0,351,112.72727272727273,80,128.448504007708,348,0,66.683064,0.0,66.683064,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
1332,Staphylococcus aureus subsp. aureus ECT-R 2; FR714927.2042131.2043670,FR714927.2042131.2043670,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus ECT-R 2,Staphylococcus aureus subsp. aureus ECT-R 2, FR714927.2042131.2043670,PanBac,No,3927,0,909,357.0,311,302.9577528303245,322,0,61.700996,0.0,61.700996,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
88,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,PanBac,No,5697,0,1480,517.9090909090909,276,526.0396286489174,276,0,52.886568,0.0,52.886568,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
2885,Escherichia coli; LT601384.4343825.4345356,LT601384.4343825.4345356,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia coli,Escherichia coli, LT601384.4343825.4345356,PanBac,No,1407,0,354,127.9090909090909,126,96.0931366388407,166,0,31.808588,0.0,31.808588,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
648,Staphylococcus aureus; CP012970.1913319.1914863,CP012970.1913319.1914863,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, CP012970.1913319.1914863,PanBac,No,3390,0,834,308.1818181818182,127,310.7043025713735,127,0,24.335486,0.0,24.335486,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
107,Staphylococcus aureus; JN084559.1.1432,JN084559.1.1432,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084559.1.1432,PanBac,No,2445,0,630,222.27272727272728,122,225.2154927659689,122,0,23.377396,0.0,23.377396,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
3568,Uncultured beta proteobacterium; FJ975788.1.1359,FJ975788.1.1359,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured beta proteobacterium,Uncultured beta proteobacterium, FJ975788.1.1359,PanBac,No,5303,0,1829,482.09090909090907,11,806.6615714840339,1710,0,274.74741,0.0,274.74741,inf,BFTMS23111404,BFTMS23111401,PanBac_strict
2600,Staphylococcus aureus; LS483314.2093564.2095103,LS483314.2093564.2095103,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, LS483314.2093564.2095103,PanBac,No,1240,0,351,112.72727272727273,80,128.448504007708,351,0,56.395521,0.0,56.395521,inf,BFTMS23111404,BFTMS23111401,PanBac_strict
1332,Staphylococcus aureus subsp. aureus ECT-R 2; FR714927.2042131.2043670,FR714927.2042131.2043670,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus ECT-R 2,Staphylococcus aureus subsp. aureus ECT-R 2, FR714927.2042131.2043670,PanBac,No,3927,0,909,357.0,311,302.9577528303245,311,0,49.968681,0.0,49.968681,inf,BFTMS23111404,BFTMS23111401,PanBac_strict
88,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,PanBac,No,5697,0,1480,517.9090909090909,276,526.0396286489174,213,0,34.222923,0.0,34.222923,inf,BFTMS23111404,BFTMS23111401,PanBac_strict
