,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
173,Moraxella osloensis; JN175341.1.1522,JN175341.1.1522,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Enhydrobacter; Moraxella osloensis,Moraxella osloensis, JN175341.1.1522,SSU,No,100,0,68,16.666666666666668,2.0,27.390996087522385,68,0,9.562432,0.0,9.562432,inf,BFTMS23111401,BFTMS23111402,SSU_loose
89,Pseudomonas aeruginosa PA38182; HG530068.754687.756210,HG530068.754687.756210,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa PA38182,Pseudomonas aeruginosa PA38182, HG530068.754687.756210,SSU,No,118,0,116,19.666666666666668,0.5,47.19604503204338,116,1,23.874076,0.123075,23.751001,192.97989843591304,BFTMS23111407,BFTMS23111402,SSU_loose
56,Pseudomonas sp; KY623367.1.1439,KY623367.1.1439,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas sp,Pseudomonas sp, KY623367.1.1439,SSU,No,91,0,85,15.166666666666666,1.5,34.23107749789168,85,0,17.493935,0.0,17.493935,inf,BFTMS23111407,BFTMS23111402,SSU_loose
462,Corynebacterium tuberculostearicum; AJ438046.1.1512,AJ438046.1.1512,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium tuberculostearicum,Corynebacterium tuberculostearicum, AJ438046.1.1512,SSU,No,158,0,158,26.333333333333332,0.0,64.50322989329035,158,0,28.56561,0.0,28.56561,inf,BFTMS23111408,BFTMS23111402,SSU_loose
477,Alicyclobacillus acidoterrestris; X60743.1.1542,X60743.1.1542,Bacteria; Firmicutes; Bacilli; Alicyclobacillales; Alicyclobacillaceae; Alicyclobacillus; Alicyclobacillus acidoterrestris,Alicyclobacillus acidoterrestris, X60743.1.1542,SSU,No,156,0,71,26.0,17.5,28.284271247461902,71,17,12.836445,2.092275,10.74417,5.135161486898233,BFTMS23111408,BFTMS23111402,SSU_loose
852,Finegoldia magna; AB109769.669.2189,AB109769.669.2189,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; Finegoldia magna,Finegoldia magna, AB109769.669.2189,SSU,No,2604,0,2604,434.0,0.0,1063.0785483678992,2604,0,859.898088,0.0,859.898088,inf,BFTMS23111409,BFTMS23111402,SSU_loose
152,Finegoldia magna; AF542227.1.1409,AF542227.1.1409,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; Finegoldia magna,Finegoldia magna, AF542227.1.1409,SSU,No,387,0,387,64.5,0.0,157.992088409515,387,0,127.795914,0.0,127.795914,inf,BFTMS23111409,BFTMS23111402,SSU_loose
304,Streptococcus anginosus; JN787137.1.1404,JN787137.1.1404,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus,Streptococcus anginosus, JN787137.1.1404,SSU,No,273,0,272,45.5,0.0,110.96260631401914,272,0,89.820384,0.0,89.820384,inf,BFTMS23111409,BFTMS23111402,SSU_loose
136,Streptococcus anginosus; AB006119.1.1363,AB006119.1.1363,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus,Streptococcus anginosus, AB006119.1.1363,SSU,No,260,0,260,43.333333333333336,0.0,106.14455552060438,260,0,85.85772,0.0,85.85772,inf,BFTMS23111409,BFTMS23111402,SSU_loose
2,Streptococcus porcinus; AB002523.1.1496,AB002523.1.1496,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus porcinus,Streptococcus porcinus, AB002523.1.1496,SSU,No,224,0,224,37.333333333333336,0.0,91.44761706390531,224,0,73.969728,0.0,73.969728,inf,BFTMS23111409,BFTMS23111402,SSU_loose
85,Streptococcus agalactiae; AB002479.1.1450,AB002479.1.1450,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus agalactiae,Streptococcus agalactiae, AB002479.1.1450,SSU,No,163,0,163,27.166666666666668,0.0,66.54447134560968,163,0,53.826186,0.0,53.826186,inf,BFTMS23111409,BFTMS23111402,SSU_loose
59,Streptococcus dysgalactiae; AB002485.1.1506,AB002485.1.1506,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae,Streptococcus dysgalactiae, AB002485.1.1506,SSU,No,95,0,95,15.833333333333334,0.0,38.78358759406699,95,0,31.37109,0.0,31.37109,inf,BFTMS23111409,BFTMS23111402,SSU_loose
44,Streptococcus equinus; AB002481.1.1500,AB002481.1.1500,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus equinus,Streptococcus equinus, AB002481.1.1500,SSU,No,89,0,87,14.833333333333334,0.0,35.36335202814726,87,0,28.729314,0.0,28.729314,inf,BFTMS23111409,BFTMS23111402,SSU_loose
2270,Uncultured bacterium; KF090072.1.1349,KF090072.1.1349,Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; Uncultured bacterium,Uncultured bacterium, KF090072.1.1349,SSU,No,70,0,70,11.666666666666666,0.0,28.577380332470412,70,0,23.11554,0.0,23.11554,inf,BFTMS23111409,BFTMS23111402,SSU_loose
234,Streptococcus anginosus; JN578465.1.1478,JN578465.1.1478,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus,Streptococcus anginosus, JN578465.1.1478,SSU,No,68,0,68,11.333333333333334,0.0,27.760883751542686,68,0,22.455096,0.0,22.455096,inf,BFTMS23111409,BFTMS23111402,SSU_loose
67,Streptococcus equinus; AB002482.1.1457,AB002482.1.1457,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus equinus,Streptococcus equinus, AB002482.1.1457,SSU,No,61,0,60,10.166666666666666,0.0,24.416524459199078,60,1,19.81332,0.123075,19.690245,159.98574040219378,BFTMS23111409,BFTMS23111402,SSU_loose
1628,Uncultured Streptococcaceae bacterium; FJ975971.1.1357,FJ975971.1.1357,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Uncultured Streptococcaceae bacterium,Uncultured Streptococcaceae bacterium, FJ975971.1.1357,SSU,No,55,0,54,9.166666666666666,0.0,21.967400088919643,54,1,17.831988,0.123075,17.708913,143.88716636197438,BFTMS23111409,BFTMS23111402,SSU_loose
1125,Streptococcus agalactiae; LS483342.16306.17842,LS483342.16306.17842,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus agalactiae,Streptococcus agalactiae, LS483342.16306.17842,SSU,No,53,0,53,8.833333333333334,0.0,21.63715939458474,53,0,17.501766,0.0,17.501766,inf,BFTMS23111409,BFTMS23111402,SSU_loose
1469,Streptococcus uberis; KT783532.1.1430,KT783532.1.1430,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus uberis,Streptococcus uberis, KT783532.1.1430,SSU,No,36,0,36,6.0,0.0,14.696938456699069,36,0,11.887992,0.0,11.887992,inf,BFTMS23111409,BFTMS23111402,SSU_loose
46,Streptococcus hyointestinalis; AB002518.1.1416,AB002518.1.1416,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus hyointestinalis,Streptococcus hyointestinalis, AB002518.1.1416,SSU,No,46,0,33,7.666666666666667,0.5,13.276545735494103,33,0,10.897326,0.0,10.897326,inf,BFTMS23111409,BFTMS23111402,SSU_loose
